trans,word
['vt. 维护，坚持；断言；主张；声称'],assert
"['adj. 怪异的；不可思议的；超自然的', 'n. （苏格兰）命运；预言']",weird
['adj. 深厚的；意义深远的；渊博的'],profound
['adj. 严峻的；严厉的；剧烈的；苛刻的'],severe
"['n. 船，舰；[组织] 脉管，血管；容器，器皿', 'n. (Vessel)人名；(荷)费塞尔；(俄、意、捷)韦塞尔', 'n. [船]船，舰；[组织]脉管，血管；容器，[轻]器皿']",vessel
"['vi. 碰撞，撞击；颠簸而行', 'n. 肿块，隆起物；撞击', 'n. (Bump)人名；(英、西)邦普', 'vt. 碰，撞；颠簸', 'adv. 突然地，猛烈地']",bump
['n. 宗教；宗教信仰'],religion
['n. 残酷；残忍；残酷的行为'],cruelty
"['n. [植]花；青春；旺盛', 'n. (Bloom)人名；(瑞典、西)布洛姆；(英)布卢姆', 'vi. 开花；茂盛', 'n. 花；青春；旺盛', 'vt. 使开花；使茂盛']",bloom
"['n. 格式；版式；开本', 'vt. 使格式化；规定…的格式', 'vi. 设计版式']",format
"['vi. 重组；改过', 'v. 改革，革新；重组；（使）改过自新；（石油炼制）重整', 'adj. 改革的；改革教会的', 'n. 改革，改良；改正', 'vt. 改革，革新；重新组成']",reform
"['n. 一瞥；一滑；闪光', 'v. 瞥闪，瞥见，扫视，匆匆一看；浏览；斜击某物后斜弹开来；反光；轻擦（球）；（板球）斜击', 'n. 一瞥；一滑；闪光；（板球）斜击；辉金属', 'vi. 扫视，匆匆一看；反光；瞥闪，瞥见', 'vt. 扫视；瞥见；擦过', 'n. (Glance) （美、俄、澳）格兰斯（人名）']",glance
"['n. 运输；运费；四轮马车；举止；[铁路]客车厢', 'n. 运输；运费；四轮马车；举止；客车厢']",carriage
"['n. 首都，省会；资金；大写字母；资本家', 'n. (Capital)人名；(法)卡皮塔尔', 'adj. 首都的；重要的；大写的', 'n. 首都，省会；[会计]资金；大写字母；资本家']",capital
"['n. 制造商；[经] 厂商', 'n. [工业]制造商；[经]厂商']",manufacturer
"['vt. 使…颤动；使…紧张；使…感到兴奋或激动', 'vi. 颤抖；感到兴奋；感到紧张', 'n. 激动；震颤；紧张', 'n. 激动；[医]震颤；紧张']",thrill
['adj. 广泛的；大量的；广阔的'],extensive
"['vt. 使惊吓；吓唬…', 'vi. 害怕，惊恐']",frighten
"['n. 相反；反面', 'adj. 相反的；对立的', 'adv. 相反地']",contrary
"['n. [数]定义；[物]清晰度；解说', 'n. 定义；[物] 清晰度；解说']",definition
"['v. 斜移；从……角度提供信息；钓鱼；谋取', 'n. 角度，[数]角', 'n. 角，角度；视角；立场；角铁；（古）鱼钩', 'vi. 钓鱼；谋取']",angle
"['v. 斜移；从……角度提供信息；钓鱼；谋取', 'n. 角度，[数]角', 'n. 角，角度；视角；立场；角铁；（古）鱼钩', 'vi. 钓鱼；谋取']",angle
"['n. 踝关节，[解剖]踝', 'n. 踝关节，踝']",ankle
"['prep. 考虑到；就...而论', 'v. 考虑到（consider的ing形式）']",considering
"['n. 渴望；口渴；热望', 'vi. 渴望；口渴']",thirst
"['vi. 成脊状', 'vt. 使成脊状；作垄', 'n. 山脊；山脉；屋脊', 'n. (Ridge)人名；(英)里奇', 'n. [地理]山脊；山脉；[建]屋脊']",ridge
['adj. 壮观的，惊人的；公开展示的'],spectacular
"['n. (Breeze)人名；(法)布雷兹', 'n. [气象]微风；轻而易举的事；煤屑；焦炭渣；小风波', 'vi. [气象]吹微风；逃走', 'n. 微风；轻而易举的事；煤屑；焦炭渣；小风波', 'vi. 吹微风；逃走']",breeze
"['vi. 躲避，避难', 'n. (Shelter)人名；(英)谢尔特', 'n. 庇护；避难所；遮盖物', 'n. [法]庇护；避难所；遮盖物', 'vt. 保护；使掩蔽']",shelter
"['n. 肢，臂；分支；枝干', 'vt. 切断…的手足；从…上截下树枝', 'n. (Limb)人名；(朝)林；(英)利姆']",limb
"['vt. 削尖；磨快；使敏捷；加重', 'vi. 尖锐；变锋利']",sharpen
"['n. 感染；传染；影响；传染病', 'n. [医]感染；[内科]传染；影响；传染病']",infection
"['n. 目的；利益；理由；日本米酒', 'n. (Sake)人名；(罗)萨克；(日)酒(姓)']",sake
['n. 朴素；简易；天真；愚蠢'],simplicity
['adj. 共同的；相互的，彼此的'],mutual
['n. 讨论会，研讨班'],seminar
"['n. (Venture) （法）旺蒂尔（人名）', 'vi. 冒险；投机', 'n. 冒险旅行；（有风险的）企业', 'v. 敢于冒险；小心地说（或做）；冒着失去……的风险', 'vt. 敢于', 'n. 企业；风险；冒险']",venture
['n. 讨厌的人；损害；麻烦事；讨厌的东西'],nuisance
"['n. 鞭子；鞭策者；纪律委员；投票指示；（机）搅拌器；蛋奶水果甜点心；抽打；车夫', 'vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败', 'vi. 抽打；急走；拍击', 'v. 抽打；猛然移动；促使，煽动；搅打（蛋，奶油）；偷盗（非正式）；彻底击败（非正式）；用细绳缠绕加固；急走；拍击', 'n. [畜牧]鞭子；抽打；车夫；[机]搅拌器']",whip
